demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-1.4896000000007916,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.53219999999601,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5140000000010332,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.0042000000012195,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.942599999996673,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.17460000000392,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.6193999999995867,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8950000000040745,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5275999999958003,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2949999999982538,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9311999999990803,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0270000000018626,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8423999999977242,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.89520000000266,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.054599999999482,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.3522000000048138,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.93360130749477,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.176046993753158,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.26741096720035695,-1.1235161200059491,0.0,-0.0
-0.0,0.0,0.0,0.295517180900198,-0.468436894997351,0.0,-0.0
-0.0,0.0,0.0,0.567728342225252,-4.536852688750901,0.0,-0.0
-0.0,0.0,0.0,0.6955369734502205,-2.1301438537494732,0.0,-0.0
-0.0,0.0,0.0,0.5105290452093881,2.4976070312512366,0.0,-0.0
-0.0,0.0,0.0,0.3070196360424723,2.747377023753364,0.0,-0.0
-0.0,-1.2056349134252506,0.0,0.2,1.4447650865733759,0.0,-0.0
-0.0,-2.208199999995486,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.6372000000028493,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.443599999998696,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.4250000000029104,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.2687999999961903,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.784800000003088,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9794000000056258,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.6343999999935477,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.443200000001525,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2007999999950698,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0468000000018947,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9728000000050088,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9627999999938764,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0771999999997206,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.0662000000029366,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9432242937524098,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.7499950024974504,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1291775412503613,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3131519474957476,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.3858146071997499,-3.0969101199958318,0.0,-0.0
-0.0,-0.42357084030343156,0.0,0.2,2.508497197196624,0.0,-0.0
-0.0,-3.6426282100008356,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.988588903746502,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.230600000004415,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.122799999999188,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.706399999995483,0.0,0.2,0.0,0.0,-0.0
-0.0,-6.128200000002835,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.611399999999776,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.9861999999993714,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.113600000002407,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.8646000000007916,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.725800000000163,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.583600000001752,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1035999999985506,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0403999999980442,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.9179999999996653,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8613999999997759,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.8629999999993744,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.2480000000032305,0.0,0.2,0.0,0.0,-0.0
